LOGLB,NUMG,LOGG,LOGB,TAGW,GHIST,LOGP1,GHIST1,mispredictions,p2 latency,energy per instruction
5,6,9,10,10,145,10,8,12573.0,1.49,643.0
4,6,10,10,14,145,11,11,11846.0,1.59,1233.0
4,8,11,13,11,179,11,4,11714.0,1.81,1761.0
4,6,9,10,13,145,10,4,12346.0,1.46,794.0
5,6,9,11,10,145,10,9,12611.0,1.44,591.0
5,4,8,10,10,63,10,4,15030.0,1.31,349.0
4,8,11,12,11,179,10,4,11651.0,1.83,1742.0
5,4,9,8,10,63,10,4,14026.0,1.41,389.0
4,6,8,13,11,145,10,5,12932.0,1.35,663.0
4,6,10,14,11,145,10,11,11935.0,1.55,1236.0
4,8,11,13,10,179,15,4,11700.0,1.75,2008.0
4,6,11,12,10,145,10,8,11833.0,1.69,1181.0
5,6,8,9,10,145,10,10,13290.0,1.35,472.0
